Node	ZeroAct	UpAct	DownAct	AvgAct	NodeType
ARNT	0	0	100	-100	T
ATF4	0	0	100	-100	T
E2F1	0	100	0	100	T
E2F2	0	100	0	100	T
E2F3	0	100	0	100	T
E2F4	0	100	0	100	T
ELF3	0	0	100	-100	T
FOXM1	0	100	0	100	T
FOXO1	0	0	100	-100	T
FOXO3	0	0	100	-100	T
FOXO4	0	0	100	-100	T
HBP1	0	100	0	100	T
IRF3	0	0	100	-100	T
IRF4	0	0	100	-100	T
KDM5B	0	0	100	-100	T
LEF1	0	100	0	100	T
MYC	0	100	0	100	T
NFE2L1	0	0	100	-100	T
NFE2L2	0	0	100	-100	T
NR1H2	0	0	100	-100	T
NR1H3	0	0	100	-100	T
NR2C2	0	100	0	100	T
NR5A1	0	0	100	-100	T
RUNX3	0	0	100	-100	T
SPIB	0	0	100	-100	T
SREBF1	0	0	100	-100	T
SREBF2	0	0	100	-100	T
SRF	0	100	0	100	T
STAT1	0	0	100	-100	T
TFDP1	0	100	0	100	T
TP53	0	0	100	-100	T
TP73	0	0	100	-100	T
EGFR	0	0	100	-100	S
MAPK3	0	100	0	100	
MAPK1	0	0	100	-100	
PAK1	0	0	100	-100	
ERBB2	33.3333333333333	33.3333333333333	33.3333333333333	0	S
CAMKK2	66.6666666666667	0	33.3333333333333	-33.3333333333333	
RPS6KA3	0	0	100	-100	
RAF1	66.6666666666667	33.3333333333333	0	33.3333333333333	
SMAD4	33.3333333333333	66.6666666666667	0	66.6666666666667	
SMAD3	66.6666666666667	33.3333333333333	0	33.3333333333333	
CHEK1	0	100	0	100	
STK11	33.3333333333333	0	66.6666666666667	-66.6666666666667	
PARP1	0	100	0	100	
GSK3B	0	100	0	100	
PLK1	0	0	100	-100	
CSNK2A1	0	100	0	100	
PIAS4	33.3333333333333	66.6666666666667	0	66.6666666666667	
DDX58	66.6666666666667	0	33.3333333333333	-33.3333333333333	
MAPK11	0	100	0	100	
BRAF	66.6666666666667	33.3333333333333	0	33.3333333333333	
DUSP16	0	0	100	-100	
RXRB	0	0	100	-100	
NR4A2	0	0	100	-100	
NRIP1	0	100	0	100	
ROCK2	0	0	100	-100	
PRKAA1	0	0	100	-100	
CDK4	0	100	0	100	
PIK3CA	66.6666666666667	33.3333333333333	0	33.3333333333333	
PLD2	0	0	100	-100	
ABCB1	0	0	100	-100	S
TAP1	0	0	100	-100	S
CYP3A4	0	0	100	-100	S
CYP3A5	0	0	100	-100	S
